trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
64,False,"{'a': 0.5, 'e': 0.11973036721303665}",20,11,16.174494579216258,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
65,False,"{'a': 0.5, 'e': 0.11728279226871874}",30,16,25.901203537871957,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
66,False,"{'a': 0.5, 'e': 0.11490950876185044}",20,11,16.049512775850964,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
67,False,"{'a': 0.5, 'e': 0.11260754020089225}",30,23,14.229018950811708,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
68,False,"{'a': 0.5, 'e': 0.11037405768148295}",25,7,33.26066830876767,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
69,False,"{'a': 0.5, 'e': 0.10820637119113614}",30,19,18.998113139839834,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
70,False,"{'a': 0.5, 'e': 0.10610192150579888}",25,12,23.84552933524971,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
71,False,"{'a': 0.5, 'e': 0.10405827263267471}",25,11,25.47479630649134,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
72,False,"{'a': 0.5, 'e': 0.10207310475762783}",35,27,14.011545157975096,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
73,False,"{'a': 0.5, 'e': 0.10014420765902941}",20,14,3.8781928509663013,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
74,False,"{'a': 0.5, 'e': 0.09826947455311998}",20,9,-6.672672238589044,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
75,False,"{'a': 0.5, 'e': 0.09644689633887624}",25,17,15.411154411307507,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
76,False,"{'a': 0.5, 'e': 0.09467455621301817}",25,2,-35.21017059509679,"{0: 20, 1: 0, 2: 1, 3: 1, 4: 1}",1
77,False,"{'a': 0.5, 'e': 0.09295062462819792}",20,11,14.285022874049748,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
78,False,"{'a': 0.5, 'e': 0.09127335456960092}",20,0,-15.385481199805792,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
79,False,"{'a': 0.5, 'e': 0.08964107712718318}",20,10,16.51207507297473,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
80,False,"{'a': 0.5, 'e': 0.0880521973425851}",20,1,29.321228803644825,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
81,False,"{'a': 0.5, 'e': 0.0865051903114191}",35,24,21.351241554541563,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
82,False,"{'a': 0.5, 'e': 0.08499859752314128}",25,10,25.285302349437664,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
